,Company_Brand,Sector,Stage,Amount($),HeadQuarter,Year
121,Rupeek,Finance,Series A,6830000.0,Bangalore,2018
122,Backpacker Panda Holidays Private Limited,Hospitality,Series A,1400000.0,Pune,2018
123,Shape (School Health and Physical Education),Education,Pre-series A,200000.0,Pune,2018
124,Placio,Hospitality,Pre-series A,2000000.0,Noida,2018
125,Aviom India Housing Finance,Finance,Series A,2205000.0,New Delhi,2018
126,HeyHolidays,Hospitality,Pre-series A,1000000.0,Bangalore,2018
127,Pratilipi,Media & Entertainment,Series A,4300000.0,Bangalore,2018
128,Silversparro Technologies Pvt. Ltd,Business Intelligence,Pre-series A,300000.0,Gurgaon,2018
129,Emflux Motors,Transport,Pre-series A,364846.0,Bangalore,2018
130,Tricog Health Services Pvt Ltd,Business Intelligence,Series A,4000000.0,Bangalore,2018
131,Scapic,Technology,Pre-series A,500000.0,Bangalore,2018
132,6Degree,Beauty & Fashion,Pre-series A,400000.0,Mumbai,2018
133,Ekincare,Health,Series A,1500000.0,Hyderabad,2018
134,Groww,Finance,Pre-series A,120000.0,Kormangala,2018
135,Chezuba,Business Intelligence,Angel Round,20580.0,Hyderabad,2018
136,Wealthtrust,Finance,Pre-series A,500000.0,Mumbai,2018
137,Awign Enterprises,Business Intelligence,Pre-series A,735000.0,Bangalore,2018
138,Hubhopper,Sports,Series A,500000.0,New Delhi,2018
139,Rubix108 Technologies,Technology,Pre-series A,1000000.0,Pune,2018
140,Workflexi,Business Intelligence,Pre-series A,147000.0,Bangalore,2018
141,Streak,Finance,Pre-series A,330750.0,Bangalore,2018
142,Kuants,Finance,Pre-series A,73500.0,Gurgaon,2018
143,NiYO Solutions,Finance,Series A,13200000.0,Bangalore,2018
144,Simulanis,LifeStyle,Pre-series A,500000.0,New Delhi,2018
145,MY CHIRAAG CAB,Hospitality,Pre-series A,1000000.0,Jaipur,2018
146,True Elements,Food & Beverages,Pre-series A,735000.0,Pune,2018
147,Trendlyne Technologies,Finance,Pre-series A,200000.0,Bangalore,2018
148,Planys Technologies,Energy,Series A,2060940.0,Chennai,2018
149,HealthPlix,LifeStyle,Series A,3000000.0,Bangalore,2018
150,Entropik Technology,Education,Pre-series A,1100000.0,Bangalore,2018
151,myHQ,Business Intelligence,Series A,500000.0,New Delhi,2018
152,Kidovators (by GyanLab),Education,Pre-series A,180000.0,Bangalore,2018
153,Log 9 Materials,Technology,Pre-series A,441000.0,Uttar Pradesh,2018
154,VTION,Business Intelligence,Pre-series A,282240.0,Gurgaon,2018
155,RupeeCircle,Finance,Pre-series A,588000.0,Mumbai,2018
156,Wooden Street,LifeStyle,Series A,1000000.0,Jaipur,2018
157,The Ken,Media & Entertainment,Series A,1500000.0,Bangalore,2018
158,Foyr,LifeStyle,Series A,4200000.0,Pune,2018
159,MEngage,Health,Pre-series A,175000.0,Jaipur,2018
160,Wishberry,Finance,Series A,1470000.0,Mumbai,2018
161,McXtra,Finance,Pre-series A,1300000.0,Andheri,2018
162,SmartVizX,Technology,Pre-series A,1450000.0,Noida,2018
163,HungerBox,Food & Beverages,Series A,4500000.0,Bangalore,2018
164,Biryani By Kilo,Food & Beverages,Pre-series A,1000000.0,Noida,2018
165,Wholesome Habits (EAT Anytime),Food & Beverages,Pre-series A,500000.0,Mumbai,2018
166,GoBumpr,Transport,Pre-series A,600000.0,Mylapore,2018
167,Fixpocket,LifeStyle,Pre-series A,250000.0,Ahmedabad,2018
168,edureka!,Finance,Series A,2000000.0,Bangalore,2018
169,Wow Express,Technology,Series A,4500000.0,Mumbai,2018
170,ZunRoof,Energy,Angel Round,244020.0,Gurgaon,2018
171,Eggoz,Food & Beverages,Angel Round,176400.0,Indore,2018
172,Sqrrl Fintech,Finance,Pre-series A,1000000.0,Gurgaon,2018
173,IndiQube,Business Intelligence,Series A,15000000.0,Bangalore,2018
174,EGK Foods,Food & Beverages,Pre-series A,294000.0,Mumbai,2018
175,NirogStreet,Health,Pre-series A,300000.0,Gurgaon,2018
176,Pixr8,Business Intelligence,Pre-series A,50000.0,Ghaziabad,2018
177,Nivesh.com,Finance,Pre-series A,441000.0,Noida,2018
178,Hey Deedee,Transport,Pre-series A,485100.0,Mumbai,2018
179,DigiConnectt Technologys,Business Intelligence,Pre-series A,125000.0,Bangalore,2018
180,Locus.sh,Transport,Series A,4000000.0,Bangalore,2018
181,Sports Flashes Pvt. Ltd,LifeStyle,Pre-series A,1000000.0,New Delhi,2018
182,Picxy,Technology,Pre-series A,130000.0,Guntur,2018
183,Huddle,Business Intelligence,Pre-series A,300000.0,Haryana,2018
184,Cash Suvidha,Finance,Pre-series A,1000000.0,New Delhi,2018
185,Smartcoin,Finance,Pre-series A,2000000.0,Bangalore,2018
186,Printline Media(ThePrint),Media & Entertainment,Pre-series A,513030.0,New Delhi,2018
187,Doxper,Hospitality,Pre-series A,1058400.0,Mumbai,2018
188,i2ifunding,Finance,Angel Round,735000.0,Noida,2018
189,Fasal,Education,Pre-series A,120000.0,Bangalore,2018
190,CoinGeto,Finance,Pre-series A,1764000.0,New Delhi,2018
191,Avail Finance,Finance,Series A,17200000.0,Bangalore,2018
192,Tripeur,Technology,Pre-series A,600000.0,Bangalore,2018
193,Doubtnut,Education,Pre-series A,514500.0,Gurgaon,2018
194,MCaffeine,Commerce,Pre-series A,470400.0,Mumbai,2018
195,TrustCheckr,Technology,Angel Round,100000.0,Bangalore,2018
196,HealthAssure,LifeStyle,Pre-series A,1000000.0,Mumbai,2018
197,Picture TIme,Media & Entertainment,Pre-series A,3675000.0,New Delhi,2018
198,1Crowd,Finance,Angel Round,3500000.0,Mumbai,2018
199,Wellthy Therapeutics Pvt Ltd,Hospitality,Pre-series A,1984500.0,Mumbai,2018
200,Kuvera.in,Finance,Angel Round,250000.0,Bangalore,2018
201,Livehealth,Business Intelligence,Pre-series A,1100000.0,Pune,2018
202,Gramophone,Agriculture,Pre-series A,1000000.0,Indore,2018
203,Buddy4Study.com,Business Intelligence,Series A,3000000.0,Noida,2018
204,HealWell24,LifeStyle,Pre-series A,200000.0,Mumbai,2018
205,Acko General Insurance,Finance,Series A,12000000.0,Mumbai,2018
206,arzooo.com,Commerce,Pre-series A,220500.0,Bangalore,2018
207,Bonphul Air Products,Technology,Angel Round,294000.0,New Delhi,2018
208,Edyoo,Education,Pre-series A,1000000.0,Bangalore,2018
209,Chtrbox,Business Intelligence,Angel Round,147000.0,Mumbai,2018
210,Aashiyaan Housing and Development Finance,Finance,Pre-series A,1984500.0,Kolkata,2018
211,BetterPlace Safety Solutions Pvt. Ltd.,Business Intelligence,Series A,3000000.0,Bangalore,2018
212,Cashkumar,Finance,Pre-series A,735000.0,Bangalore,2018
213,Rocketium,Commerce,Pre-series A,294000.0,Bangalore,2018
214,mfine,Hospitality,Series A,4200000.0,Bangalore,2018
215,Earth Food,Food & Beverages,Pre-series A,940800.0,Pune,2018
216,Charcoal Eats,Food & Beverages,Pre-series A,735000.0,Mumbai,2018
217,Career Anna,Education,Pre-series A,588000.0,Bangalore,2018
218,ERUDITUS Executive Education,Business Intelligence,Series C,40000000.0,Mumbai,2018
219,Square Off,Manufacturing,Pre-series A,1100000.0,Mumbai,2018
220,UrbanClap,Business Intelligence,Series D,50000000.0,New Delhi,2018
221,Hospals,Hospitality,Pre-series A,1500000.0,New Delhi,2018
222,Kogta Financial India Limited,Finance,Series B,22638000.0,Jaipur,2018
223,Hush - Speak Up. Make Work Better,Government,Pre-series A,661500.0,Bangalore,2018
